,Article_ID,Date,wordCount,Source
2291,6BN0-FF31-DXY4-X0Y1-00000-00,26 March 2024,1663,The New York Times
2292,69DM-FC51-DXY4-X0NF-00000-00,17 October 2023,2113,The New York Times
2293,69F2-4VW1-DXY4-X1BF-00000-00,19 October 2023,1023,The New York Times
2294,69DW-HHX1-JBG3-60CJ-00000-00,18 October 2023,1209,The New York Times
2295,6C0B-DYC1-JBG3-60PR-00000-00,09 May 2024,1058,The New York Times
2296,6B5J-N871-JBSS-S02C-00000-00,23 January 2024,1000,CNN Wire
2297,6BGW-D751-JBSS-S1H2-00000-00,07 March 2024,1693,CNN Wire
2298,6C00-4HM1-JBSS-S006-00000-00,07 May 2024,1544,CNN Wire
2299,69VR-WKH1-DY7V-G214-00000-00,13 December 2023,1044,CNN Wire
2300,69P2-8PC1-JBSS-S083-00000-00,12 October 2023,1517,CNN Wire
2301,6B9Y-7R51-F03R-N075-00000-00,12 February 2024,1220,Al Jazeera English
2302,6CJ6-5SK1-F03R-N4MF-00000-00,22 July 2024,1212,Al Jazeera English
2303,69MN-1J71-DXY4-X2KG-00000-00,14 November 2023,532,The New York Times
2304,6C6Y-X211-DY7V-G0B2-00000-00,09 June 2024,549,CNN Wire
2305,69W5-SSX1-JBSS-S4FM-00000-00,15 December 2023,772,CNN Wire
2306,6D07-K7J1-DY7V-G06J-00000-00,17 September 2024,594,CNN Wire
2307,69DW-42K1-JBG3-609V-00000-00,18 October 2023,562,The New York Times
2308,69K5-64R1-F03R-N0Y0-00000-00,07 November 2023,1429,Al Jazeera English
2309,69P2-9TH1-JBSS-S0CP-00000-00,25 October 2023,408,CNN Wire
2310,69DV-GY81-DY7V-G01N-00000-00,18 October 2023,1256,CNN Wire
2311,6BW0-N9N1-JBSS-S041-00000-00,23 April 2024,492,CNN Wire
2312,69P2-5751-DY7V-G1C6-00000-00,08 October 2023,1137,CNN Wire
2313,6C4W-D731-F03R-N16F-00000-00,30 May 2024,745,Al Jazeera English
2314,6CNK-Y3W1-DY7V-G060-00000-00,07 August 2024,666,CNN Wire
2315,6BFT-0891-JBSS-S09Y-00000-00,02 March 2024,481,CNN Wire
2316,6BX8-D851-DY7V-G0BF-00000-00,29 April 2024,745,CNN Wire
2317,6B5N-V9S1-DXY4-X04N-00000-00,23 January 2024,1152,The New York Times
2318,6CN5-72C1-DY7V-G00R-00000-00,05 August 2024,887,CNN Wire
2319,6CJT-4851-F03R-N06D-00000-00,25 July 2024,662,Al Jazeera English
2320,6BN1-JG11-JBG3-608B-00000-00,26 March 2024,607,The New York Times
2321,6B36-VRT1-DXY4-X02P-00000-00,12 January 2024,1160,The New York Times
2322,69P5-BRG1-JBSS-S067-00000-00,21 November 2023,927,CNN Wire
2323,6D1Y-T9V1-JBG3-64FW-00000-00,25 September 2024,1324,The New York Times
2324,Batch 02 - BBC  - 2096,05 October 2024,545,BBC
2325,Batch 01 - BBC  - 430,20 October 2023,53,BBC
2326,Batch 01 - BBC  - 466,10 October 2023,43,BBC
2327,6BS4-WKW1-JCMN-Y000-00000-00,10 April 2024,566,Al Jazeera English
2328,6CC7-79M1-JBG3-60PY-00000-00,29 June 2024,2002,The New York Times
2329,69YT-F861-DY7V-G4VH-00000-00,27 December 2023,822,CNN Wire
2330,69R5-R421-DXY4-X04P-00000-00,26 November 2023,2477,The New York Times
2331,6D1T-5R81-F03R-N04W-00000-00,24 September 2024,977,Al Jazeera English
2332,6B2J-7PK1-JBSS-S416-00000-00,09 January 2024,1094,CNN Wire
2333,6C4T-M0H1-DY7V-G3BG-00000-00,30 May 2024,2521,CNN Wire
2334,69HD-FKY1-JCMN-Y1DB-00000-00,30 October 2023,713,Al Jazeera English
2335,6B5R-VK01-DY7V-G057-00000-00,24 January 2024,346,CNN Wire
2336,6B25-FGC1-JBSS-S3J3-00000-00,07 January 2024,598,CNN Wire
2337,6C5W-MGF1-JBSS-S00J-00000-00,04 June 2024,743,CNN Wire
2338,69W7-V731-DY7V-G2PP-00000-00,15 December 2023,1230,CNN Wire
2339,69VM-B4K1-DXY4-X2BW-00000-00,12 December 2023,1712,The New York Times
2340,6B2J-3311-DY7V-G00P-00000-00,09 January 2024,1006,CNN Wire
2341,6BXX-BT21-JBG3-63M1-00000-00,02 May 2024,1489,The New York Times
2342,6BHP-DV61-JBSS-S291-00000-00,10 March 2024,379,CNN Wire
2343,69P2-6FM1-DY7V-G1V2-00000-00,12 October 2023,1028,CNN Wire
2344,6BY4-RN41-JBG3-6044-00000-00,03 May 2024,941,The New York Times
2345,69DN-T791-DY7V-G03G-00000-00,17 October 2023,903,CNN Wire
2346,69XR-BDG1-DY7V-G45H-00000-00,22 December 2023,666,CNN Wire
2347,69M6-3F01-JCMN-Y32D-00000-00,12 November 2023,775,Al Jazeera English
2348,69XH-GR01-DY7V-G3Y1-00000-00,21 December 2023,1205,CNN Wire
2349,69TP-G841-JBG3-637T-00000-00,08 December 2023,594,The New York Times
2350,69C9-KK01-DXY4-X01S-00000-00,11 October 2023,521,The New York Times
2351,6B31-8081-DY7V-G064-00000-00,11 January 2024,471,CNN Wire
2352,6C40-MHY1-DY7V-G2PD-00000-00,26 May 2024,530,CNN Wire
2353,6C8P-1SG1-DY7V-G24C-00000-00,17 June 2024,519,CNN Wire
2354,6C0C-P061-F03R-N4M2-00000-00,09 May 2024,489,Al Jazeera English
2355,6B6K-D631-DXY4-X00W-00000-00,28 January 2024,1692,The New York Times
2356,6B4F-N5F1-JBG3-600N-00000-00,18 January 2024,6593,The New York Times
2357,6B3C-ST51-F03R-N002-00000-00,13 January 2024,583,Al Jazeera English
2358,6B4G-SYH1-F03R-N40T-00000-00,18 January 2024,429,Al Jazeera English
2359,Batch 01 - BBC  - 1235,23 October 2023,114,BBC
2360,Batch 01 - BBC  - 129,14 November 2023,442,BBC
2361,6BK8-7471-F03R-N03G-00000-00,29 February 2024,1151,Al Jazeera English
2362,6CB5-WW61-DXY4-X00W-00000-00,23 June 2024,1780,The New York Times
2363,6C5W-WFY1-JBSS-S013-00000-00,04 June 2024,507,CNN Wire
2364,Batch 01 - BBC  - 520,06 August 2024,1306,BBC
2365,6BKP-H091-JBG3-602W-00000-00,20 March 2024,486,The New York Times
2366,6BTM-W541-JBG3-60PP-00000-00,17 April 2024,751,The New York Times
2367,6C7N-C7S1-DXY4-X4R6-00000-00,12 June 2024,991,The New York Times
2368,6BKW-GJ71-JBG3-60P3-00000-00,21 March 2024,451,The New York Times
2369,69KC-X041-DXY4-X1FW-00000-00,08 November 2023,1230,The New York Times
2370,69JJ-02J1-DXY4-X2PT-00000-00,04 November 2023,1721,The New York Times
2371,6B8F-FS71-JBG3-6007-00000-00,05 February 2024,1255,The New York Times
2372,6B2R-XV01-JBG3-63SW-00000-00,10 January 2024,792,The New York Times
2373,6BX5-X2N1-JBG3-63XH-00000-00,29 April 2024,942,The New York Times
2374,6BM3-FRS1-JBG3-6004-00000-00,22 March 2024,791,The New York Times
2375,69JV-4TK1-DXY4-X310-00000-00,05 November 2023,1245,The New York Times
2376,6B30-1G31-JBG3-60BS-00000-00,11 January 2024,561,The New York Times
2377,6BXD-RD11-JBG3-6132-00000-00,30 April 2024,747,The New York Times
2378,6BXV-2GH1-DXY4-X3SW-00000-00,02 May 2024,1062,The New York Times
2379,6CS9-51Y1-DXY4-X182-00000-00,20 August 2024,864,The New York Times
2380,6B1P-TKD1-DXY4-X01C-00000-00,05 January 2024,1630,The New York Times
2381,6CHM-P5C1-JBG3-606R-00000-00,19 July 2024,1077,The New York Times
2382,69S8-8TM1-JBG3-62F4-00000-00,01 December 2023,376,The New York Times
2383,6B2B-8G11-JBG3-62H7-00000-00,08 January 2024,849,The New York Times
2384,6C11-FGB1-JBG3-602F-00000-00,12 May 2024,382,The New York Times
2385,69CM-2SS1-JBG3-601S-00000-00,12 October 2023,777,The New York Times
2386,6B31-NBJ1-DXY4-X026-00000-00,11 January 2024,1463,The New York Times
2387,6CRW-D311-DXY4-X015-00000-00,18 August 2024,825,The New York Times
2388,6BXP-MHR1-DXY4-X3H7-00000-00,01 May 2024,1085,The New York Times
2389,69J9-NPW1-JBG3-60YK-00000-00,03 November 2023,1254,The New York Times
2390,69S5-K101-JBG3-60V3-00000-00,30 November 2023,1286,The New York Times
2391,6D0H-P6K1-JBG3-62PV-00000-00,18 September 2024,1274,The New York Times
2392,6C1N-X0H1-JBG3-6034-00000-00,15 May 2024,1171,The New York Times
2393,69JY-18S1-DXY4-X3W1-00000-00,06 November 2023,542,The New York Times
2394,69MF-MG91-JBSS-S2F6-00000-00,13 November 2023,575,CNN Wire
2395,69P2-HJW1-DY7V-G357-00000-00,31 October 2023,919,CNN Wire
2396,6C7D-4FN1-DY7V-G0SV-00000-00,11 June 2024,811,CNN Wire
2397,69T4-6MY1-DY7V-G08M-00000-00,05 December 2023,547,CNN Wire
2398,6B8H-RGK1-JCMN-Y3XW-00000-00,06 February 2024,903,Al Jazeera English
2399,6BKR-MWW1-F03R-N4HY-00000-00,20 March 2024,651,Al Jazeera English
2400,69P2-JSY1-JBSS-S1M1-00000-00,10 November 2023,1258,CNN Wire
2401,69XF-7N11-DY7V-G3S2-00000-00,21 December 2023,623,CNN Wire
2402,69V5-SK61-JBSS-S327-00000-00,10 December 2023,950,CNN Wire
2403,6C8X-K4F1-DY7V-G2C5-00000-00,18 June 2024,563,CNN Wire
2404,69P2-HJW1-DY7V-G38V-00000-00,10 November 2023,663,CNN Wire
2405,6B55-C6N1-DY7V-G01V-00000-00,21 January 2024,974,CNN Wire
2406,69J9-0YH1-F03R-N1NG-00000-00,03 November 2023,603,Al Jazeera English
2407,Batch 01 - BBC  - 1098,16 October 2023,547,BBC
2408,6C7M-4PV1-DY7V-G11R-00000-00,12 June 2024,910,CNN Wire
2409,6B5J-G1C1-JCMN-Y179-00000-00,23 January 2024,522,Al Jazeera English
2410,6C75-8N11-F03R-N05K-00000-00,10 June 2024,686,Al Jazeera English
2411,6D04-HJ51-JBSS-S11F-00000-00,16 September 2024,1000,CNN Wire
2412,6D1V-GFT1-F03R-N3GJ-00000-00,24 September 2024,609,Al Jazeera English
2413,6B8R-2B01-F03R-N001-00000-00,07 February 2024,919,Al Jazeera English
2414,69J6-WMG1-JBSS-S080-00000-00,03 November 2023,923,CNN Wire
2415,Batch 01 - BBC  - 1467,10 June 2024,1016,BBC
2416,69JR-6RX1-DY7V-G15R-00000-00,05 November 2023,443,CNN Wire
2417,69P2-HJW1-DY7V-G37C-00000-00,05 November 2023,709,CNN Wire
2418,Batch 01 - BBC  - 1968,12 October 2023,69,BBC
2419,6BKY-3XM1-JCMN-Y18M-00000-00,21 March 2024,744,Al Jazeera English
2420,69GM-3YK1-DY7V-G05B-00000-00,26 October 2023,592,CNN Wire
2421,6BXK-XT81-JBG3-61KM-00000-00,01 May 2024,553,The New York Times
2422,6BXK-KMK1-DY7V-G0MW-00000-00,01 May 2024,1425,CNN Wire
2423,6BBG-GDH1-DY7V-G00N-00000-00,15 February 2024,607,CNN Wire
2424,69P2-9TH1-JBSS-S0BV-00000-00,12 October 2023,1001,CNN Wire
2425,69JH-4CF1-JCMN-Y0Y4-00000-00,04 November 2023,645,Al Jazeera English
2426,69KB-3DM1-JCMN-Y3G8-00000-00,08 November 2023,381,Al Jazeera English
2427,6B8S-HMK1-JCMN-Y446-00000-00,07 February 2024,815,Al Jazeera English
2428,Batch 01 - BBC  - 836,01 May 2024,690,BBC
2429,6B8P-7VJ1-DY7V-G011-00000-00,07 February 2024,1457,CNN Wire
2430,6CSC-7BG1-JBSS-S063-00000-00,20 August 2024,940,CNN Wire
2431,6CS3-39F1-DY7V-G003-00000-00,19 August 2024,1263,CNN Wire
2432,6C4M-YKX1-DY7V-G37F-00000-00,29 May 2024,604,CNN Wire
2433,6B25-XJ41-JCMN-Y1H8-00000-00,07 January 2024,863,Al Jazeera English
2434,6B2K-T8H1-JBG3-62YN-00000-00,09 January 2024,481,The New York Times
2435,6CM2-TD81-JCMN-Y07R-00000-00,31 July 2024,578,Al Jazeera English
2436,Batch 01 - BBC  - 1432,12 October 2023,524,BBC
2437,6BD5-YT91-JBSS-S3S3-00000-00,23 February 2024,415,CNN Wire
2438,6CS2-X6W1-JCMN-Y001-00000-00,19 August 2024,532,Al Jazeera English
2439,Batch 01 - BBC  - 623,11 June 2024,967,BBC
2440,6C2Y-CXG1-JBSS-S0V2-00000-00,21 May 2024,610,CNN Wire
2441,6BKV-5VM1-DY7V-G01R-00000-00,21 March 2024,776,CNN Wire
2442,6B31-0DC1-F03R-N415-00000-00,11 January 2024,546,Al Jazeera English
2443,69JY-RWJ1-DY7V-G1F5-00000-00,06 November 2023,1197,CNN Wire
2444,6B25-N7H1-JBSS-S3JH-00000-00,07 January 2024,1532,CNN Wire
2445,6C7M-MDK1-JCMN-Y4XR-00000-00,12 June 2024,716,Al Jazeera English
2446,6CXT-88G1-DY7V-G2JM-00000-00,10 September 2024,740,CNN Wire
2447,Batch 01 - BBC  - 402,01 December 2023,638,BBC
2448,6B2K-6PN1-JCMN-Y2T5-00000-00,09 January 2024,479,Al Jazeera English
2449,6B2H-2CX1-JBSS-S3YS-00000-00,09 January 2024,972,CNN Wire
2450,6BWV-V681-JBG3-631G-00000-00,27 April 2024,783,The New York Times
2451,6BWM-7PB1-JBG3-6203-00000-00,26 April 2024,1058,The New York Times
2452,6C6J-Y421-DXY4-X0Y4-00000-00,07 June 2024,397,The New York Times
2453,6C20-S851-JBSS-S002-00000-00,17 May 2024,470,CNN Wire
2454,6CRG-SHC1-JBSS-S16N-00000-00,16 August 2024,418,CNN Wire
2455,6BWV-BB01-DY7V-G01J-00000-00,27 April 2024,507,CNN Wire
2456,6C6J-P911-DY7V-G03D-00000-00,07 June 2024,580,CNN Wire
2457,6BKY-29G1-JBSS-S02D-00000-00,21 March 2024,614,CNN Wire
2458,69TN-NT41-JCMN-Y04S-00000-00,08 December 2023,356,Al Jazeera English
2459,Batch 01 - BBC  - 159,20 March 2024,1233,BBC
2460,6B2S-XCD1-DY7V-G044-00000-00,10 January 2024,776,CNN Wire
2461,69G6-0171-DY7V-G06Y-00000-00,24 October 2023,679,CNN Wire
2462,6BM2-TBJ1-DY7V-G01N-00000-00,22 March 2024,753,CNN Wire
2463,6BVB-8031-JBSS-S01H-00000-00,20 April 2024,504,CNN Wire
2464,6B49-D5H1-DXY4-X00C-00000-00,17 January 2024,673,The New York Times
2465,6BXN-VRP1-JBG3-62F3-00000-00,01 May 2024,654,The New York Times
2466,6D0P-2WG1-DXY4-X1VK-00000-00,19 September 2024,1261,The New York Times
2467,6B23-JM51-DXY4-X004-00000-00,07 January 2024,816,The New York Times
2468,6BWD-XB31-JCMN-Y4H3-00000-00,25 April 2024,1103,Al Jazeera English
2469,Batch 01 - BBC  - 438,29 August 2024,617,BBC
2470,69VK-H5H1-JBSS-S3KM-00000-00,12 December 2023,1109,CNN Wire
2471,6B43-TF51-DXY4-X06B-00000-00,16 January 2024,984,The New York Times
2472,6CNJ-GXY1-DXY4-X05C-00000-00,07 August 2024,296,The New York Times
2473,6C27-HGY1-JBG3-6109-00000-00,18 May 2024,763,The New York Times
2474,Batch 01 - BBC  - 524,12 October 2023,470,BBC
2475,6CS9-0911-DY7V-G000-00000-00,20 August 2024,1702,CNN Wire
2476,6B9C-96T1-F03R-N0KV-00000-00,10 February 2024,525,Al Jazeera English
2477,69N6-FC71-F03R-N0H7-00000-00,17 November 2023,355,Al Jazeera English
2478,69N3-4K71-DY7V-G45S-00000-00,16 November 2023,500,CNN Wire
2479,Batch 01 - BBC  - 1495,19 May 2024,739,BBC
2480,69HV-GW91-DXY4-X15S-00000-00,01 November 2023,650,The New York Times
2481,69HT-7V31-JCMN-Y449-00000-00,01 November 2023,419,Al Jazeera English
2482,Batch 01 - BBC  - 232,01 November 2023,569,BBC
2483,6BDR-34M1-DY7V-G01W-00000-00,26 February 2024,353,CNN Wire
2484,6CM8-F201-JBG3-60V3-00000-00,01 August 2024,1295,The New York Times
2485,6B05-CTS1-F03R-N3H1-00000-00,29 December 2023,593,Al Jazeera English
2486,6B18-MB31-DXY4-X2TC-00000-00,03 January 2024,1501,The New York Times
2487,6BT7-JKT1-JCMN-Y03T-00000-00,15 April 2024,1155,Al Jazeera English
2488,Batch 01 - BBC  - 807,10 October 2023,539,BBC
2489,6D2F-PV81-JBG3-60RN-00000-00,27 September 2024,1497,The New York Times
2490,69W7-T211-JBG3-60M6-00000-00,15 December 2023,764,The New York Times
2491,6CTC-KP11-DXY4-X29C-00000-00,25 August 2024,1123,The New York Times
2492,Batch 01 - BBC  - 368,06 April 2024,542,BBC
2493,Batch 01 - BBC  - 86,16 March 2024,1371,BBC
2494,69TW-7291-DXY4-X4TF-00000-00,08 December 2023,383,The New York Times
2495,6C4F-S8V1-DXY4-X0G4-00000-00,28 May 2024,1318,The New York Times
2496,6CYW-0J11-JBG3-63D3-00000-00,15 September 2024,1013,The New York Times
2497,Batch 01 - BBC  - 1539,15 November 2023,562,BBC
2498,Batch 01 - BBC  - 1638,14 April 2024,978,BBC
2499,Batch 01 - BBC  - 686,17 November 2023,912,BBC
2500,Batch 01 - BBC  - 354,03 November 2023,1777,BBC
2501,Batch 01 - BBC  - 1182,12 February 2024,129,BBC
2502,Batch 01 - BBC  - 1035,29 July 2024,599,BBC
2503,Batch 02 - BBC  - 2071,02 October 2024,441,BBC
2504,Batch 02 - BBC  - 2049,24 September 2024,474,BBC
2505,Batch 02 - BBC  - 2051,24 September 2024,1714,BBC
2506,Batch 01 - BBC  - 337,31 July 2024,872,BBC
2507,Batch 01 - BBC  - 188,07 May 2024,861,BBC
2508,Batch 02 - BBC  - 2029,18 September 2024,718,BBC
2509,Batch 01 - BBC  - 1641,03 April 2024,1716,BBC
2510,Batch 01 - BBC  - 1931,02 December 2023,1021,BBC
2511,Batch 01 - BBC  - 1455,09 December 2023,779,BBC
2512,Batch 02 - BBC  - 2102,06 October 2024,3927,BBC
2513,6CBH-KK81-DXY4-X0DP-00000-00,25 June 2024,1534,The New York Times
2514,69T8-W3X1-JBG3-61C5-00000-00,06 December 2023,1457,The New York Times
2515,6C7B-Y7F1-JBG3-601W-00000-00,11 June 2024,1372,The New York Times
2516,6C77-2CB1-DXY4-X34M-00000-00,10 June 2024,1410,The New York Times
2517,6C9P-M581-JBG3-600Y-00000-00,22 June 2024,1381,The New York Times
2518,Batch 01 - BBC  - 528,28 August 2024,437,BBC
2519,Batch 01 - BBC  - 1601,29 November 2023,507,BBC
2520,Batch 01 - BBC  - 130,14 April 2024,531,BBC
2521,69W8-DTF1-F03R-N419-00000-00,15 December 2023,2392,Al Jazeera English
2522,6BGR-D5P1-DXY4-X2S7-00000-00,06 March 2024,1595,The New York Times
2523,6D21-KT91-JBG3-608D-00000-00,25 September 2024,739,The New York Times
2524,6D25-T6G1-JBG3-618D-00000-00,26 September 2024,724,The New York Times
2525,69KJ-7SC1-JCMN-Y49D-00000-00,09 November 2023,608,Al Jazeera English
2526,Batch 02 - BBC  - 2016,10 September 2024,604,BBC
2527,6C4N-3J31-JCMN-Y1YD-00000-00,29 May 2024,439,Al Jazeera English
2528,6BCB-NDP1-JCMN-Y55P-00000-00,19 February 2024,345,Al Jazeera English
2529,6BC3-PN41-F03R-N000-00000-00,18 February 2024,488,Al Jazeera English
2530,6BC4-NSN1-DXY4-X004-00000-00,18 February 2024,499,The New York Times
2531,6BCB-D4N1-JBG3-64J0-00000-00,19 February 2024,319,The New York Times
2532,6BCS-04P1-JBG3-61CS-00000-00,21 February 2024,1056,The New York Times
2533,6C0D-9SY1-JBG3-6001-00000-00,09 May 2024,1312,The New York Times
2534,69P2-BYN1-JBSS-S137-00000-00,26 October 2023,2154,CNN Wire
2535,Batch 01 - BBC  - 416,07 December 2023,1142,BBC
2536,Batch 01 - BBC  - 1256,25 March 2024,535,BBC
2537,Batch 01 - BBC  - 1780,03 November 2023,230,BBC
2538,6CYG-M1X1-JBG3-62BY-00000-00,13 September 2024,1302,The New York Times
2539,6B3W-BD81-DXY4-X01C-00000-00,15 January 2024,438,The New York Times
2540,6CHG-N0P1-DXY4-X119-00000-00,19 July 2024,708,The New York Times
2541,6B3W-1PY1-JCMN-Y00C-00000-00,15 January 2024,437,Al Jazeera English
2542,69K4-J9V1-JCMN-Y068-00000-00,07 November 2023,725,Al Jazeera English
2543,6CDG-XXM1-DXY4-X0RH-00000-00,05 July 2024,1067,The New York Times
2544,6B5S-J3B1-DXY4-X1MT-00000-00,24 January 2024,362,The New York Times
2545,6B72-6N01-DXY4-X02D-00000-00,30 January 2024,685,The New York Times
2546,6BT8-JNH1-DXY4-X00H-00000-00,15 April 2024,529,The New York Times
2547,69W2-87V1-JC85-N4FV-00000-00,15 December 2023,1425,The New York Times
2548,69CD-BGK1-JBSS-S08V-00000-00,11 October 2023,300,CNN Wire
2549,6C0R-BT21-JBG3-600M-00000-00,11 May 2024,1300,The New York Times
2550,6B2K-PFD1-F03R-N0SN-00000-00,09 January 2024,452,Al Jazeera English
2551,6BRW-RVS1-DY7V-G015-00000-00,09 April 2024,443,CNN Wire
2552,Batch 01 - BBC  - 211,05 November 2023,509,BBC
2553,Batch 01 - BBC  - 2036,31 October 2023,1190,BBC
2554,Batch 01 - BBC  - 1218,10 October 2023,69,BBC
2555,69F3-RG31-JCMN-Y2W7-00000-00,19 October 2023,1014,Al Jazeera English
2556,Batch 01 - BBC  - 1245,12 October 2023,619,BBC
2557,Batch 01 - BBC  - 709,14 November 2023,439,BBC
2558,Batch 01 - BBC  - 1065,09 November 2023,953,BBC
2559,Batch 01 - BBC  - 1960,17 October 2023,414,BBC
2560,6B2H-4PR1-DY7V-G01J-00000-00,09 January 2024,1021,CNN Wire
2561,Batch 01 - BBC  - 1658,17 October 2023,763,BBC
2562,Batch 01 - BBC  - 363,23 October 2023,410,BBC
2563,Batch 01 - BBC  - 869,13 November 2023,519,BBC
2564,Batch 01 - BBC  - 1146,15 December 2023,580,BBC
2565,Batch 01 - BBC  - 689,04 April 2024,1217,BBC
2566,6BT1-G6S1-DXY4-X05Y-00000-00,14 April 2024,1615,The New York Times
2567,6B6V-THR1-DY7V-G01T-00000-00,29 January 2024,852,CNN Wire
2568,69CT-CKN1-JBG3-601V-00000-00,13 October 2023,641,The New York Times
2569,6C2V-D261-DXY4-X2WP-00000-00,20 May 2024,1438,The New York Times
2570,Batch 01 - BBC  - 1708,22 August 2024,1098,BBC
2571,Batch 01 - BBC  - 661,13 November 2023,1036,BBC
2572,Batch 01 - BBC  - 785,10 February 2024,873,BBC
2573,69TJ-0G11-DXY4-X3JT-00000-00,07 December 2023,1256,The New York Times
2574,Batch 01 - BBC  - 1734,23 April 2024,1317,BBC
2575,69BJ-CDV1-DY7V-G03K-00000-00,07 October 2023,251,CNN Wire
2576,6B6C-W1M1-JCMN-Y000-00000-00,27 January 2024,2968,Al Jazeera English
2577,6B95-17X1-JBG3-600M-00000-00,09 February 2024,445,The New York Times
2578,69P2-D541-DY7V-G28B-00000-00,19 October 2023,1250,CNN Wire
2579,6D09-4V31-DXY4-X0Y5-00000-00,17 September 2024,414,The New York Times
2580,69DM-P7W1-JBG3-64DM-00000-00,17 October 2023,2018,The New York Times
2581,6BX6-4Y11-JBG3-63YY-00000-00,29 April 2024,1800,The New York Times
2582,69BH-Y6J1-F03R-N0M4-00000-00,07 October 2023,448,Al Jazeera English
2583,6BVY-N3V1-JCMN-Y15K-00000-00,23 April 2024,1094,Al Jazeera English
2584,69J9-71V1-JBSS-S0F3-00000-00,03 November 2023,842,CNN Wire
2585,69RK-9CN1-DXY4-X004-00000-00,28 November 2023,608,The New York Times
2586,6BTX-S921-JBG3-605J-00000-00,18 April 2024,652,The New York Times
2587,69WW-4PG1-JBG3-63WV-00000-00,18 December 2023,575,The New York Times
2588,69JR-DFD1-JBG3-638B-00000-00,05 November 2023,657,The New York Times
2589,6C3C-ND31-JBG3-60BC-00000-00,23 May 2024,533,The New York Times
2590,6B37-72B1-JBG3-61S3-00000-00,12 January 2024,1159,The New York Times
2591,69CT-H2Y1-JBG3-601X-00000-00,13 October 2023,814,The New York Times
2592,69P2-JSY1-JBSS-S1PK-00000-00,09 November 2023,415,CNN Wire
2593,6B6W-0591-DY7V-G03J-00000-00,29 January 2024,378,CNN Wire
2594,6BPG-6RH1-DY7V-G03X-00000-00,02 April 2024,798,CNN Wire
2595,6D4K-NHB1-JBSS-S1RY-00000-00,07 October 2024,801,CNN Wire
2596,Batch 01 - BBC  - 1528,13 October 2023,122,BBC
2597,Batch 01 - BBC  - 1378,12 October 2023,97,BBC
2598,69P4-RHV1-DY7V-G03H-00000-00,21 November 2023,1760,CNN Wire
2599,6B00-32R1-F03R-N05K-00000-00,28 December 2023,561,Al Jazeera English
2600,6C3C-W5R1-DY7V-G1HF-00000-00,23 May 2024,519,CNN Wire
2601,6BY3-NKX1-DY7V-G18N-00000-00,03 May 2024,999,CNN Wire
2602,6CX5-2PG1-DY7V-G1YJ-00000-00,07 September 2024,1372,CNN Wire
2603,6C6H-J5H1-JBSS-S01D-00000-00,07 June 2024,862,CNN Wire
2604,6B60-WM21-DY7V-G03K-00000-00,25 January 2024,464,CNN Wire
2605,6BRS-JMY1-DY7V-G03B-00000-00,08 April 2024,807,CNN Wire
2606,69RK-CN11-DY7V-G018-00000-00,28 November 2023,439,CNN Wire
2607,6CGT-RW51-JBSS-S00K-00000-00,16 July 2024,985,CNN Wire
2608,69RM-XR21-JCMN-Y0PJ-00000-00,28 November 2023,593,Al Jazeera English
2609,69SW-J021-DY7V-G00Y-00000-00,04 December 2023,945,CNN Wire
2610,69P2-8PC1-JBSS-S09M-00000-00,21 October 2023,2754,CNN Wire
2611,69D6-XG81-DY7V-G006-00000-00,15 October 2023,851,CNN Wire
2612,69P2-KWY1-JBSS-S26W-00000-00,17 November 2023,1430,CNN Wire
2613,6D32-HC91-JBSS-S0K6-00000-00,30 September 2024,1110,CNN Wire
2614,6BXN-RC91-DY7V-G0RH-00000-00,01 May 2024,1052,CNN Wire
2615,69P2-N1G1-JBSS-S2CV-00000-00,20 November 2023,1047,CNN Wire
2616,6B00-DX01-JBSS-S1P2-00000-00,28 December 2023,1709,CNN Wire
2617,Batch 01 - BBC  - 564,21 October 2023,720,BBC
2618,69K4-DDJ1-DXY4-X07C-00000-00,07 November 2023,1494,The New York Times
2619,Batch 01 - BBC  - 810,26 April 2024,698,BBC
2620,69P2-JSY1-JBSS-S1JN-00000-00,08 November 2023,1483,CNN Wire
2621,6C1S-P8K1-F03R-N01G-00000-00,16 May 2024,1003,Al Jazeera English
2622,6BBD-VDN1-JBG3-6007-00000-00,15 February 2024,2569,The New York Times
2623,6B8C-5V41-DXY4-X00C-00000-00,05 February 2024,1391,The New York Times
2624,Batch 01 - BBC  - 1789,12 August 2024,570,BBC
2625,Batch 01 - BBC  - 1777,06 June 2024,332,BBC
2626,69JW-SSF1-DXY4-X3PW-00000-00,06 November 2023,1610,The New York Times
2627,69T9-2VD1-DY7V-G0FR-00000-00,06 December 2023,1612,CNN Wire
2628,6BFF-W251-DXY4-X2C6-00000-00,29 February 2024,1475,The New York Times
2629,6C99-2701-JBSS-S00G-00000-00,20 June 2024,1325,CNN Wire
2630,6D4J-8YK1-F03R-N3KJ-00000-00,07 October 2024,552,Al Jazeera English
2631,Batch 01 - BBC  - 1265,05 August 2024,914,BBC
2632,6BW3-VDD1-JBSS-S05Y-00000-00,24 April 2024,1930,CNN Wire
2633,6BB2-5G51-DY7V-G038-00000-00,13 February 2024,1111,CNN Wire
2634,6BY2-DBM1-DXY4-X4W9-00000-00,03 May 2024,1604,The New York Times
2635,69KK-9NY1-F03R-N376-00000-00,09 November 2023,839,Al Jazeera English
